시군명,상호명,소재지,고압가스종류,데이터기준일자
가평군,(재)예수의꽃동네유지재단 노체리안드리아자애병원,경기도 가평군 조종면 운악리,산소,2018-06-20
가평군,(주)팜스코,경기도 가평군 설악면 송산리,액화천연가스,2018-06-20
가평군,GS칼텍스청평연구소,경기도 가평군 설악면 사룡리,LPG,2018-06-20
가평군,㈜꿈의동산,경기도 가평군 청평면 상천리,LPG,2018-06-20
가평군,㈜협신,경기도 가평군 상면 봉수리,LPG,2018-06-20
가평군,대교디앤에스마이다스밸리골프클럽,경기도 가평군 설악면 이천리,LPG,2018-06-20
가평군,세계평화통일가정연합(박물관),경기도 가평군 설악면 송산리,LPG,2018-06-20
가평군,아난티C.C서울클럽하우스,경기도 가평군 설악면 방일리,LPG,2018-06-20
가평군,아난티서울펜트하우스,경기도 가평군 설악면 방일리,LPG,2018-06-20
가평군,천주청평수련원,경기도 가평군 설악면 송산리,LPG,2018-06-20
가평군,청심신학대학원대학교(청심중고),경기도 가평군 설악면 송산리,LPG,2018-06-20
가평군,청심어린이집,경기도 가평군 설악면 송산리,LPG,2018-06-20
가평군,청평수상스포츠빌라1구역,경기도 가평군 설악면 회곡리,LPG,2018-06-20
가평군,청평수상스포츠빌라2구역,경기도 가평군 설악면 회곡리,LPG,2018-06-20
